feature,importance,mean,std,min,max
t049_cumulative_distance,0.0011725575124060287,2.117845942869604,0.6423182404952118,0.5487945079803467,4.129305839538574
t017_y_mean,0.001168888469811017,0.38866197972834865,0.3779903445428741,0.0,1.0
t040_stroke_length,0.0011553952278914466,1.796693350748712,0.6354084907648079,0.0,3.6366703510284415
t022_stroke_length,0.0011487597539598454,1.021839201890869,0.6358663279700707,0.0,2.5370535850524902
t038_x_max,0.0011465320635176285,0.6175177831432793,0.29262841801629424,0.0,1.0
t026_stroke_length,0.0011244859292191046,1.2351589683588884,0.6234092440306351,0.0,2.543318748474121
t048_x_mean,0.0011220160670883095,0.60705620676754,0.30359157710126633,0.0,1.0
t024_x_max,0.0011139172291158097,0.6049722752096021,0.33546216177156596,0.0,1.0
t023_stroke_progress,0.0011111584477496194,1.091745729564226,0.635905713922557,0.0,2.5370535850524902
t001_y_min,0.0011039529109167698,0.15298654023535638,0.200954941753578,0.0,0.9774266481399536
t007_y_mean,0.0010908919114412646,0.21165815341755734,0.24997717253227975,0.0,1.0
t044_x_min,0.001085061007118024,0.6253992584159234,0.3086524864094349,0.0,1.0
t049_x_max,0.0010802519871206324,0.5932778895643366,0.3023177009928716,0.0,1.0
t004_y_max,0.0010785270283791854,0.17106180823662234,0.21496122623028727,0.0,1.0
t009_x_min,0.0010784667564953535,0.5420294800888287,0.34954833907376265,0.0,1.0
t050_stroke_length,0.0010615832265966501,2.160495619374917,0.6451577603330304,0.5487945079803467,4.366483688354492
t043_x_max,0.0010511309226394236,0.6245810654630284,0.30389728783435194,0.0,1.0
t036_x_min,0.00105025220107491,0.6198927080759637,0.29406830643277787,0.0,1.0
t029_cumulative_distance,0.0010491718948892055,1.3439017261296777,0.6119441274473277,0.0,3.323843479156494
t010_x_min,0.001042487400741834,0.5459345200577699,0.345651246535811,0.0,1.0
t040_y_min,0.0010397690599828775,0.5103943373636896,0.36641891691328726,0.0,1.0
t039_x_mean,0.0010350295500768925,0.6173063496149988,0.2956677066633485,0.0,1.0
t058_x_mean,0.001029219345125703,0.24897227293025123,0.3196337662778188,0.0,1.0
t044_stroke_length,0.001026654041893554,1.9504212401836991,0.6426461944548985,0.0,4.032656669616699
t036_cumulative_distance,0.0010202672278215137,1.6338974296675612,0.6087800870536623,0.0,3.5465924739837646
t000_y_mean,0.001011923832573162,0.1500390105509752,0.19674641131156445,0.0,1.0
t042_x_max,0.001008359994947912,0.6220158787592652,0.30178643602710453,0.0,1.0
t049_vx,0.001007264843341813,-0.7283874728983815,5.342937541852038,-39.12362289428711,55.82524871826172
t041_x_mean,0.0010032274982389915,0.6197131683203981,0.30093607538265926,0.0,1.0
t028_stroke_length,0.000998446523602259,1.3139741524390387,0.607695182193768,0.0,2.739521026611328
t002_y_mean,0.0009982924114988944,0.1555979781760927,0.20424428485560775,0.0,1.0
t043_stroke_progress,0.0009813724294402179,1.9181707719467076,0.6413981586780788,0.0,3.999481201171875
t000_y_max,0.0009800979735141366,0.15003901132311953,0.1967464122664072,0.0,1.0
t030_y_mean,0.0009767481022703054,0.4016867988752164,0.35905088810091884,0.0,1.0
t050_x_max,0.0009739437232377102,0.5702298726723252,0.3008017257185473,0.0,1.0
t000_y_min,0.000973107279052332,0.15003901132311953,0.1967464122664072,0.0,1.0
t008_x_min,0.0009685758039641752,0.5385569346812646,0.3503300462305477,0.0,1.0
t031_stroke_length,0.0009671317545305317,1.4201316079118416,0.6017816996649068,0.0,3.546592235565185
t003_y_max,0.0009566416701076129,0.1629026867789717,0.20856739498843846,0.0,1.0
t047_vx,0.0009561394771570172,-0.12897330630159995,6.251286237165773,-56.06060791015625,74.0740737915039
t010_x_max,0.0009519359418214783,0.5459345200577699,0.345651246535811,0.0,1.0
t058_x_min,0.0009460898888197664,0.24897227419848253,0.3196337680280246,0.0,1.0
t042_x_min,0.0009410599825755141,0.6220158787592652,0.30178643602710453,0.0,1.0
t032_x_min,0.0009392334356337437,0.6249549209140242,0.3092775654356594,0.0,1.0
